Fields,,,,
Description,Jargon,P&L Report Column name,UT Report Column name,
Segment,Segment,Segment,Segment,
Participating Vertical Delivery Group,"PVDG, VDG, V+H",PVDG,ParticipatingVDG,
Participating Vertical Delivery Group,"PVDU, VDU",PVDU,ParticipatingVDU,
Executing Delivery Group,"BU, Exec DG, DG",Exec DG,DeliveryGroup,
Executing Delivery Unit,"Exec DU, DU",Exec DU,Delivery_Unit,
Final Customer,"Account, Final Customer",FinalCustomerName,FinalCustomerName,
Contract ID,Contract,Contract ID,sales document,
Sales Region,"Sales Region, Region",sales Region,,
Year/Quarter/Month,"Yrly/Qtrly/Monthly,
YoY/QoQ/MoM",Month,Date_a,
,,,,
,,,,
KPIs,,,,
Description,Prompt,Table,Column,Formula
Revenue,Revenue,P&L,"Group1
Amount in USD","sum of column ""Amount in USD"" for which column ""Group1"" is ""ONSITE"" or ""OFFSHORE"" or ""INDIRECT REVENUE"""
Onsite Revenue,On Revenue,P&L,"Group1
Amount in USD","sum of column ""Amount in USD"" for which column ""Group1"" is ""ONSITE"""
Offshore Revenue,Off Revenue,P&L,"Group1
Amount in USD","sum of column ""Amount in USD"" for which column ""Group1"" is ""OFFSHORE"""
Indirect Revenue,Indirect Revenue,P&L,"Group1
Amount in USD","sum of column ""Amount in USD"" for which column ""Group1"" is ""INDIRECT REVENUE"""
Cost,Cost,P&L,"Group1
Amount in USD","sum of ""Direct Expense"", ""OWN OVERHEADS"", ""Indirect Expense"", ""Project Level Depreciation"", ""Direct Expense - DU Block Seats Allocation"",""Direct Expense - DU Pool Allocation"",""Establishment Expenses"""
Contribution Margin,CM/CM%,P&L,"Group1
Amount in USD",(Revenue - Cost) / Revenue
C&B Cost Onsite,On C&B,P&L,"Group Description
Amount in USD","sum of column ""Amount in USD"" for which column ""Group Description"" is ""Onsite Salaries & Allowances"", ""Cost of Onsite TPCs/Retainers"""
C&B Cost Offshore,Off C&B,P&L,Group Description,"sum of column ""Amount in USD"" for which column ""Group Description"" is ""C&B Cost Offshore"", ""Professional Fee - Retainers/TPC"""
C&B,C&B,P&L,Group Description,"sum of column ""Amount in USD"" for which column ""Group Description"" is C&B Cost Onsite and C&B Cost Offshore"
Utilization,"UT%, Total UT%, UT",UT,"NetAvailableHours
TotalBillableHours","sum of ""TotalBillableHours"" / sum of ""NetAvailableHours"""
Onsite Utilization,"On UT, On UT%",UT,"NetAvailableHours
TotalBillableHours
Onsite/Offshore","{ sum of ""TotalBillableHours"" / sum of ""NetAvailableHours"" } where column ""Onsite/Offshore"" is ""Onsite"""
Offshore Utilization,"Off UT, Off UT%",UT,"NetAvailableHours
TotalBillableHours
Onsite/Offshore","{ sum of ""TotalBillableHours"" / sum of ""NetAvailableHours"" } where column ""Onsite/Offshore"" is ""Offshore"""
Billed Rate,Billed Rate,"P&L, UT","Revenue from P&L Table as mentioned above
Total billable Hrs from UT table","Revenue / sum of ""Total billable Hrs"""
Realized Rate,Realized Rate,"P&L, UT","Revenue from P&L Table as mentioned above
Net Available Hrs from UT table","Revenue / sum of ""Net Available Hrs"""
Head Count,HC,UT,PSNo,"Distinct Count of ""PSNo"""
Revenue Per Person,"RPP, Revenue Per Person","P&L, UT","Revenue from P&L Table as mentioned above
HC from UT Table as mentioned above",Revenue / HC
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,149157,,,
,144933,,,
,97.2%,,,
